ulasan,rasa,sambal,keramaian,kenyamanan,pelayanan,rating,sentimen
"100/100 deh untuk resto ini! udah harganya murah, rasanya enak, pelayannya sopan pula. Respect!!",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
AC-nya rusak,BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
Affordable Price,NETRAL,NETRAL,NETRAL,BAGUS,NETRAL,5,1
"Akhirnya kemauan selama ini sudah direalisasikan, dan sesuai dengan ekspektasi",BAGUS,NETRAL,NETRAL,BAGUS,BAGUS,5,1
"Always love to come back to here. Kesini bisa seminggu 2x karena suka banget sama dimsum dan nasi goreng telur nya?? dimsum fav: pangsit goreng dan mantau goreng, u guys should try!!
Dan kwetiau goreng telur nya jg enakkkk bgt!",BAGUS,NETRAL,NETRAL,NETRAL,BAGUS,4,1
Apaan sih kok pada mau ke sini,BURUK,NETRAL,NETRAL,BURUK,BURUK,2,0
"Asliiii.. pikirnya mau kesini mau coba suasana baru di seberang Holywings.. nyesel banget.. lg happy hour terus pikirnya asik mau pesen yg happy hour.. tanya sama 2 pelayan yg berbeda, ""mba ini happy hournya bisa beda item ga? Saya mau pesan Cosmopolitan sama Whiskey Sour bisa ga kayak gitu?"" Mba2nya bilang bisaaa trus mau pesen juga beer trus nanya berkali2 yg mana aja yg happy hour jawabannya bedaaaa2 terus sampe saya hrs nanya berkali2 untuk mastiin.. trus yaudah saya pesan Cosmopolitan, Whiskey Sour dan Strongbow 2.. lalu yg dateng strongbow 1, Cosmopolitan 2, sama Whiskey Sour 2 donggg! Alasannya hrs dengan item yg sama happy hournya wow.. lalu pertanggung jawabannya ga banget.. will never visit this place again :) kalau anda buka bar dengan service seperti ini this is not a good bar..",BURUK,NETRAL,,BURUK,BURUK,2,0
Atmosfer nyaman,NETRAL,NETRAL,NETRAL,BAGUS,BAGUS,4,1
"awal datang ditempat ini tidak ramah sama pengunjung, makanannya dari 1-10 nilainya. Saya kasih 5. Karena sayur asemnya manis, makanannya biasa aja. Sambel terasinya juga engga pedas. Ayamnya kecil (ayam kampung). Jambalnya kecil. Dan yang tidak enak.

Saya makan disini kaya diusir pelan pelan karena saya baru aja selesai makan. Orang lain udah nunggu didepan gubuk saya. Dan seharusnya ada kursi untuk waiting list.",BURUK,BURUK,NETRAL,BURUK,BURUK,1,0
"Awas kalap makan ayam mat lengket. Karna ayamnya ayam kampung yang tasty banget. Nasi uduknya juga enak kalo dicampur sambel. Tempatnya emang sih biasa aja, tapi cukup terbayar dengan ayam dan nasi uduknya.",BAGUS,BAGUS,NETRAL,NETRAL,NETRAL,4,1
"Ayam bakarnya keras sekali, tidak empuk",BURUK,BURUK,NETRAL,NETRAL,NETRAL,2,0
